seg_id,time_to_failure
seg_00030f,3.163450306278403
seg_0012b5,5.122903493715578
seg_00184e,4.878316561543282
seg_003339,7.867255034535973
seg_0042cc,6.608135110535632
seg_004314,1.6867020567250177
seg_004cd2,6.9428073189719655
seg_004ee5,3.6346700531494562
seg_004f1f,5.022599424743717
seg_00648a,1.9894847791957528
seg_006e4a,2.466644246136276
seg_007a37,5.006310574610503
seg_00a37e,4.03734072444803
seg_00be11,2.8504089526273724
seg_00c35b,8.267232787989174
seg_00cc91,4.767180165190385
seg_00e5f7,5.912698486072421
seg_00f3b9,4.2625430691442805
seg_010eab,6.968191043210852
seg_0125d9,4.632589642557068
seg_0144cb,4.653183352604287
seg_0165c6,9.040275866154976
seg_016913,4.428737245313276
seg_016cdb,5.1224484585397505
seg_017314,7.02412276239046
seg_01a8dc,5.287372252679638
seg_01c775,7.253507065318105
seg_01ecb0,4.689585550062454
seg_02042f,2.0302561291068844
seg_025e78,5.4238938171541395
seg_032822,4.907207366780372
seg_0339ca,4.193168679440426
seg_037461,4.763469879137144
seg_038879,6.806717029252029
seg_03d386,1.7330699915224343
seg_03d63e,4.664597908490233
seg_03d680,8.56511376072292
seg_03f380,4.177539132343123
seg_0445d7,4.281508333183337
seg_046c28,2.1626530141987743
seg_0488a1,6.650290884919456
seg_049957,9.078061503462457
seg_04a696,7.860554892762704
seg_04ae38,4.892297013094915
seg_04b87a,8.056155899511982
seg_04cceb,7.58356458335937
seg_04ee93,7.527273554437404
seg_04fd93,5.530653702932812
seg_0536c9,4.21070543795248
seg_055127,6.054327976751836
seg_05a1b0,4.995366978864537
seg_05a4ad,7.126833483291924
seg_05b66a,9.193099299209871
seg_05bef4,2.4172638033419123
seg_05e0d7,3.810524915001981
seg_05f126,8.283348338070407
seg_05f9d6,6.474723775006055
seg_060ce4,2.237231513921154
seg_061a33,6.976221664972118
seg_0620e6,6.071780362204768
seg_063865,6.33982471536397
seg_065588,4.138929062781432
seg_06893f,2.0207722772802623
seg_06b8c9,5.2968192654597015
seg_06bbc5,2.5511352527715547
seg_06d4a2,4.137288954538642
seg_06d7ba,2.541652360601113
seg_070bb0,1.8762094446047806
seg_071067,2.7685065512251255
seg_073696,8.61097025454793
seg_075340,4.75090866321869
seg_075f77,2.6297280376269083
seg_0775a7,3.9705716362479
seg_077b7e,4.920476716496992
seg_079e34,4.613400909216576
seg_07c815,5.103919861740613
seg_07cd72,4.405490519014303
seg_07f37c,3.6111407675476546
seg_07f8df,4.9571851897946395
seg_07fc6d,7.359474391624064
seg_086a61,8.873701205963652
seg_0870ab,5.189619429800254
seg_0879a8,7.74157640895737
